GOFFSET_FM_NAME,GOFFSET_SEGMENT,GOFFSET_CID,GOFFSET_SEG,GOFFSET_READNODE,GOFFSET_GRADE,GOFFSET_AL0,GOFFSET_AL1,GOFFSET_AL2,GOFFSET_AL3,GOFFSET_AM0,GOFFSET_AM1,GOFFSET_AM2,GOFFSET_AM3,GOFFSET_AH0,GOFFSET_EBL,GOFFSET_EBH,GOFFSET_PHCUT
FM02-05,AB,0,0,0,0,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,AB,0,0,0,2,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,AB,0,0,0,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,AB,0,0,0,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,AB,0,0,1,0,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,AB,0,0,1,2,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,AB,0,0,1,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,AB,0,0,1,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,CD,0,1,0,0,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,CD,0,1,0,2,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,CD,0,1,0,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,CD,0,1,0,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,CD,0,1,1,0,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,CD,0,1,1,2,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,CD,0,1,1,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-05,CD,0,1,1,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,AB,1,0,0,2,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,AB,1,0,0,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,AB,1,0,0,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,AB,1,0,1,0,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,AB,1,0,1,2,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,AB,1,0,1,34,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,AB,1,0,1,6,0,0,0,0,0,0,0,0,0,306.5,2000,67
FM02-03,CD,1,1,0,0,7.429315362,0.006167607,-9.05E-06,0,8.279189241,0.000621937,0,0,9.523063982,306.5,2000,67
FM02-03,CD,1,1,0,2,5.201265184,0.008022075,-1.25E-05,0,6.372452453,0.000379744,0,0,7.131939619,306.5,2000,67
FM02-03,CD,1,1,0,34,4.81245886,0.00839942,-1.28E-05,0,6.015778809,0.000547414,0,0,7.110607175,306.5,2000,67
FM02-03,CD,1,1,0,6,-2.650024833,0.040608039,-6.56E-05,0,3.510820853,0.000406762,0,0,4.324344177,306.5,2000,67
FM02-03,CD,1,1,1,0,7.429315362,0.006167607,-9.05E-06,0,8.279189241,0.000621937,0,0,9.523063982,306.5,2000,67
